============================================================
  TRANSITION DETECTION RATE (TDR) — TEST SET
============================================================
  Probability threshold      : 0.3
  Early-warning window       : 14 days
  Total INACTIVE periods     : 299
  Detected periods           : 117
  Transition Detection Rate  : 39.1%
  Mean lead time (detected)  : 12.6 days
  Median lead time           : 14.0 days
============================================================

Per-period breakdown:
                     dev period_start period_end  period_length_days  detected  lead_time_days  max_prob_in_window
        MDQ6VXNlcjMxMjQ=   2025-07-29 2025-08-04                   7      True            14.0            0.971251
        MDQ6VXNlcjMxMjQ=   2025-08-13 2025-09-01                  20      True             9.0            0.944642
        MDQ6VXNlcjMxMjQ=   2025-09-03 2025-09-24                  22     False             NaN            0.033554
        MDQ6VXNlcjMzODc=   2008-06-18 2008-07-19                  32     False             NaN                 NaN
        MDQ6VXNlcjMzODc=   2008-08-27 2008-09-22                  27      True            14.0            0.933914
        MDQ6VXNlcjMzODc=   2008-11-18 2008-12-15                  28      True            14.0            0.933368
        MDQ6VXNlcjMzODc=   2009-01-01 2009-01-14                  14      True            10.0            0.577189
        MDQ6VXNlcjMzODc=   2009-01-19 2009-02-01                  14      True            14.0            0.982950
        MDQ6VXNlcjMzODc=   2009-06-14 2009-06-27                  14     False             NaN            0.067096
        MDQ6VXNlcjMzODc=   2009-08-09 2009-08-21                  13      True             8.0            0.546674
        MDQ6VXNlcjMzODc=   2009-11-20 2009-12-02                  13     False             NaN            0.003185
        MDQ6VXNlcjMzODc=   2009-12-04 2009-12-15                  12     False             NaN            0.006388
        MDQ6VXNlcjMzODc=   2010-01-04 2010-01-12                   9      True            14.0            0.992190
        MDQ6VXNlcjMzODc=   2011-01-02 2011-01-11                  10      True             8.0            0.558110
        MDQ6VXNlcjMzODc=   2017-12-18 2018-01-18                  32      True            14.0            0.725059
        MDQ6VXNlcjMzODc=   2018-03-07 2018-03-30                  24      True            12.0            0.431659
        MDQ6VXNlcjMzODc=   2018-11-21 2019-01-22                  63      True            14.0            0.581687
        MDQ6VXNlcjMzODc=   2020-06-02 2020-06-12                  11     False             NaN            0.004425
        MDQ6VXNlcjMzODc=   2020-06-14 2020-06-28                  15     False             NaN            0.008353
        MDQ6VXNlcjMzODc=   2020-07-08 2020-07-16                   9     False             NaN            0.003953
        MDQ6VXNlcjMzODc=   2020-08-09 2020-08-25                  17     False             NaN            0.000159
        MDQ6VXNlcjMzODc=   2020-08-28 2020-08-29                   2     False             NaN            0.000149
        MDQ6VXNlcjMzODc=   2020-09-10 2020-09-21                  12     False             NaN            0.000389
        MDQ6VXNlcjMzODc=   2020-10-28 2020-11-04                   8     False             NaN            0.018712
        MDQ6VXNlcjMzODc=   2022-02-04 2022-03-03                  28     False             NaN            0.008964
        MDQ6VXNlcjMzODc=   2023-03-26 2023-04-14                  20      True            14.0            0.987423
        MDQ6VXNlcjMzODc=   2023-05-16 2023-06-24                  40      True            14.0            0.986014
        MDQ6VXNlcjMzODc=   2023-10-23 2023-11-20                  29      True            14.0            0.987158
        MDQ6VXNlcjMzODc=   2024-05-08 2024-05-20                  13      True            14.0            0.876720
        MDQ6VXNlcjMzODc=   2024-07-03 2024-07-12                  10     False             NaN            0.005345
        MDQ6VXNlcjMzODc=   2024-09-02 2024-09-16                  15     False             NaN            0.001108
        MDQ6VXNlcjMzODc=   2024-09-18 2024-09-18                   1     False             NaN            0.003037
        MDQ6VXNlcjMzODc=   2024-12-06 2025-04-24                 140      True            14.0            0.947542
        MDQ6VXNlcjMzODc=   2025-04-26 2025-04-28                   3     False             NaN            0.011207
        MDQ6VXNlcjMzODc=   2025-05-06 2025-05-19                  14     False             NaN            0.004699
        MDQ6VXNlcjMzODc=   2025-08-02 2025-09-09                  39      True            13.0            0.384159
        MDQ6VXNlcjMzODc=   2025-09-21 2025-10-10                  20      True            13.0            0.672562
        MDQ6VXNlcjQ3ODQ4   2010-10-14 2011-03-02                 140     False             NaN                 NaN
        MDQ6VXNlcjQ3ODQ4   2011-03-04 2011-04-10                  38      True            14.0            0.484088
        MDQ6VXNlcjQ3ODQ4   2011-05-04 2011-06-05                  33      True            14.0            0.998989
        MDQ6VXNlcjQ3ODQ4   2011-06-18 2011-07-18                  31      True            14.0            0.812859
        MDQ6VXNlcjQ3ODQ4   2011-07-31 2011-10-12                  74     False             NaN            0.002748
        MDQ6VXNlcjQ3ODQ4   2011-10-23 2012-01-03                  73     False             NaN            0.124604
        MDQ6VXNlcjQ3ODQ4   2014-02-19 2014-02-25                   7     False             NaN            0.000140
        MDQ6VXNlcjQ3ODQ4   2017-09-01 2017-09-12                  12     False             NaN            0.000021
        MDQ6VXNlcjQ3ODQ4   2017-09-21 2017-10-03                  13     False             NaN            0.000192
        MDQ6VXNlcjQ3ODQ4   2019-07-05 2019-07-14                  10      True             8.0            0.347315
        MDQ6VXNlcjQ3ODQ4   2020-08-27 2020-09-13                  18     False             NaN            0.002950
        MDQ6VXNlcjQ3ODQ4   2020-09-16 2020-09-16                   1     False             NaN            0.161025
        MDQ6VXNlcjQ3ODQ4   2021-05-13 2021-06-01                  20     False             NaN            0.000465
        MDQ6VXNlcjQ3ODQ4   2021-06-03 2021-06-06                   4     False             NaN            0.001275
        MDQ6VXNlcjQ3ODQ4   2022-01-29 2022-02-06                   9     False             NaN            0.008966
        MDQ6VXNlcjQ3ODQ4   2022-04-14 2022-05-10                  27     False             NaN            0.082115
